Numero,Local,TotalCasos,NovosCasos,TotalMortes,NovasMortes,TotalRecuperados,Casos Ativos,CasosSerios,TotalCasos/1M,TotalMortes/1M,TotalTestes,Testes/1M,Populacao,Continente,Casos/10,Mortes/10,Teste/10,Novos/1M,Mortes/1M,Ativos/1M
122,Senegal,"81,366",+608,"1,903",+2,"74,758","4,705",8,"4,671",109,"947,777","54,414","17,417,764",Africa,214,"9,153",18,35,0.1,270
123,Ivory Coast,"78,258",,745,,"71,257","6,256",,"2,859",27,"1,302,990","47,596","27,375,956",Africa,350,"36,746",21,,,229
124,Eswatini,"67,564",,"1,349",,"65,017","1,198",11,"57,329","1,145","441,800","374,873","1,178,534",Africa,17,874,3,,,"1,017"
125,French Guiana,"64,109",,344,,"11,254","52,511",12,"206,467","1,108","528,081","1,700,717","310,505",South America,5,903,1,,,"169,115"
126,Malta,"62,390",+462,496,,"49,177","12,717",8,"140,727","1,119","1,211,456","2,732,554","443,342",Europe,7,894,0,"1,042",,"28,684"
127,Suriname,"60,823","+1,047","1,201",+2,"49,118","10,504",6,"102,280","2,020","188,480","316,948","594,671",South America,10,495,3,"1,761",3,"17,664"
128,Martinique,"59,583",,795,,104,"58,684",1,"158,964","2,121","488,892","1,304,338","374,820",North America,6,471,1,,,"156,566"
129,Guadeloupe,"59,355",,751,,"2,250","56,354",23,"148,303","1,876","607,573","1,518,063","400,229",North America,7,533,1,,,"140,804"
130,Fiji,"58,491",,721,,"52,210","5,560",,"64,532",795,"483,177","533,084","906,381",Australia/Oceania,15,"1,257",2,,,"6,134"
131,Madagascar,"54,101",,"1,117",,"48,278","4,706",22,"1,880",39,"341,346","11,861","28,778,224",Africa,532,"25,764",84,,,164
132,Cabo Verde,"52,729",,364,,"47,420","4,945",23,"93,289",644,"399,555","706,899","565,222",Africa,11,"1,553",1,,,"8,749"
133,Mauritania,"51,795",,893,,"40,291","10,611",28,"10,710",185,"616,127","127,396","4,836,302",Africa,93,"5,416",8,,,"2,194"
134,Syria,"50,580",,"2,936",,"33,956","13,688",,"2,787",162,"146,269","8,059","18,150,021",Asia,359,"6,182",124,,,754
135,Sudan,"49,096",,"3,358",,"39,663","6,075",,"1,081",74,"562,941","12,396","45,413,204",Africa,925,"13,524",81,,,134
136,Guyana,"47,005",,"1,075",,"38,346","7,584",13,"59,323","1,357","456,353","575,943","792,358",South America,17,737,2,,,"9,571"
137,French Polynesia,"46,713",,636,,N/A,N/A,7,"164,835","2,244",,,"283,392",Australia/Oceania,6,446,,,,"44,380"
138,Gabon,"44,806",,297,,"39,234","5,275",20,"19,431",129,"1,513,731","656,443","2,305,958",Africa,51,"7,764",2,,,"2,288"
139,Iceland,"43,768","+1,238",43,,"33,911","9,814",6,"127,000",125,"1,471,142","4,268,745","344,631",Europe,8,"8,015",0,"3,592",,"28,477"
140,Belize,"38,950",,607,,"31,760","6,583",4,"95,312","1,485","411,518","1,006,994","408,660",North America,10,673,1,,,"16,109"
141,Papua New Guinea,"36,432",+3,595,,"35,755",82,7,"3,957",65,"249,149","27,064","9,206,025",Australia/Oceania,253,"15,472",37,0.3,,9
142,Burundi,"35,755",,38,,773,"34,944",,"2,876",3,"345,742","27,812","12,431,439",Africa,348,"327,143",36,,,"2,811"
143,Channel Islands,"35,126",,122,,"29,974","5,030",,"199,224",692,"1,157,886","6,567,181","176,314",Europe,5,"1,445",0,,,"28,529"
144,Togo,"35,097",,260,,"27,868","6,969",,"4,093",30,"638,922","74,509","8,575,116",Africa,244,"32,981",13,,,813
145,Guinea,"35,033",,403,,"30,856","3,774",49,"2,561",29,"578,214","42,277","13,676,759",Africa,390,"33,937",24,,,276
146,Barbados,"33,311",,267,,"29,163","3,881",,"115,698",927,"493,043","1,712,472","287,913",North America,9,"1,078",1,,,"13,480"
147,Mayotte,"32,522",,186,,"2,964","29,372",,"114,972",658,"176,919","625,445","282,869",Africa,9,"1,521",2,,,"103,836"
148,Lesotho,"31,604",+128,687,,"19,524","11,393",,"14,576",317,"362,117","167,011","2,168,224",Africa,69,"3,156",6,59,,"5,255"
149,Curaçao,"30,864",,199,,"20,686","9,979",3,"186,919","1,205","419,058","2,537,900","165,120",North America,5,830,0,,,"60,435"
150,Tanzania,"30,564",,740,,N/A,N/A,7,490,12,,,"62,332,046",Africa,"2,039","84,232",,,,476
151,Bahamas,"29,730",,717,,"22,691","6,322",6,"74,513","1,797","197,297","494,490","398,991",North America,13,556,2,,,"15,845"
152,Aruba,"29,176",,182,,"25,986","3,008",7,"271,506","1,694","177,885","1,655,360","107,460",North America,4,590,1,,,"27,992"
153,Seychelles,"29,030",,134,,"24,904","3,992",,"292,411","1,350",,,"99,278",Africa,3,741,,,,"40,210"
154,Andorra,"28,899",,141,,"23,394","5,364",31,"373,112","1,820","249,838","3,225,631","77,454",Europe,3,549,0,,,"69,254"
